"claim_id","file","line","route","section","category","current_text","status","risk","source_available","decision_required","recommended_future_action","bf002b_resolution","bf002b_action","bf002b_r1_resolution","bf002b_r1_action"
"CLM-027","frontend/src/app/[locale]/page.tsx","53","/fr","produits phares","prix","30 000 FCFA / 100 Kg maïs","À CONFIRMER","Critique","non","Confirmer disponibilité/prix","Centraliser prix validés","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","DEVISE RETIREE","References FCFA residuelles neutralisees dans frontend"
"CLM-028","frontend/src/app/[locale]/page.tsx","62","/fr","produits phares","élevage","1 500 poules du village élevées en liberté","À CONFIRMER","Critique","non","Confirmer effectif et mode","Atténuer si non prouvé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-029","frontend/src/app/[locale]/page.tsx","63","/fr","produits phares","prix","10 000 FCFA / pièce poules du village","À CONFIRMER","Critique","non","Confirmer prix","Centraliser prix validés","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","DEVISE RETIREE","References FCFA residuelles neutralisees dans frontend"
"CLM-030","frontend/src/app/[locale]/page.tsx","73","/fr","services","services","Aliments formulés pour poules, porcs, poissons. Sacs de 50 kg disponibles","À CONFIRMER","Critique","non","Confirmer provenderie et stock","Classer futur si non opérationnel","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-031","frontend/src/app/[locale]/page.tsx","80","/fr","services","disponibilité","Carpes, tilapias, clarias, poules de ferme, porcs et lapins issus de notre élevage","À CONFIRMER","Critique","non","Confirmer espèces disponibles","Lister uniquement produits réels","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-032","frontend/src/app/[locale]/page.tsx","87","/fr","services","agriculture","Maïs, avocats, safou, papaye, manioc, bananes et plantains cultivés sur nos champs","À CONFIRMER","Critique","non","Confirmer cultures disponibles","Lister cultures actuelles vs projet","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-033","frontend/src/app/[locale]/page.tsx","93","/fr","services","services","Écloserie avec installations modernes et taux de réussite élevés","À CONFIRMER","Critique","non","Confirmer équipement et taux","Retirer taux sans mesure","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-034","frontend/src/app/[locale]/page.tsx","101","/fr","services","expertise","Nos experts vous accompagnent pour maximiser vos rendements","À CONFIRMER","Élevé","non","Confirmer équipe conseil","Atténuer promesse de rendement","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-035","frontend/src/app/[locale]/page.tsx","119","/fr","témoignages","témoignages","Témoignage Marie Nkodo, cliente fidèle Yaoundé","À CONFIRMER","Critique","non","Confirmer authenticité/autorisation","Retirer si non documenté","RETIRE PUBLIC","Retire de interface publique","NON CONCERNE","Aucune action R1"
"CLM-036","frontend/src/app/[locale]/page.tsx","125","/fr","témoignages","témoignages","Témoignage Jean-Pierre Mbarga, restaurateur Douala","À CONFIRMER","Critique","non","Confirmer authenticité/autorisation","Retirer si non documenté","RETIRE PUBLIC","Retire de interface publique","NON CONCERNE","Aucune action R1"
"CLM-037","frontend/src/app/[locale]/page.tsx","131","/fr","témoignages","témoignages","Témoignage Alphonse Ntouba, agriculteur Akono","À CONFIRMER","Critique","non","Confirmer authenticité/autorisation","Retirer si non documenté","RETIRE PUBLIC","Retire de interface publique","NON CONCERNE","Aucune action R1"
"CLM-038","frontend/src/app/[locale]/page.tsx","162","/fr","hero","localisation","Ferme Agro-Pastorale · Bilik, Cameroun","À CONFIRMER","Moyen","non","Confirmer commune/localité","Utiliser localisation validée","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-039","frontend/src/app/[locale]/page.tsx","172","/fr","hero","surface","40 hectares dédiés à l'élevage, l'aquaculture et l'agriculture durable","À CONFIRMER","Critique","non","Confirmer surface","Corriger avant publication","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-040","frontend/src/app/[locale]/page.tsx","188","/fr","badges","environnement","Agriculture durable","À CONFIRMER","Élevé","non","Définir pratiques","Documenter ou atténuer","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-041","frontend/src/app/[locale]/page.tsx","189","/fr","badges","qualité","Qualité garantie","À CONFIRMER","Élevé","non","Définir garantie","Retirer si pas de garantie formelle","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-042","frontend/src/app/[locale]/page.tsx","190","/fr","badges","logistique","Livraison locale","À CONFIRMER","Élevé","non","Confirmer zones de livraison","Retirer si non opérationnel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-043","frontend/src/app/[locale]/page.tsx","214","/fr","stats","surface","40 ha terres fertiles","À CONFIRMER","Critique","non","Confirmer surface","Corriger avant publication","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-044","frontend/src/app/[locale]/page.tsx","215","/fr","stats","élevage","10 000 poules pondeuses","À CONFIRMER","Critique","non","Confirmer effectif","Retirer si non prouvé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-045","frontend/src/app/[locale]/page.tsx","216","/fr","stats","production","25 000 poissons / vague","À CONFIRMER","Critique","non","Confirmer volume","Retirer si non prouvé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-046","frontend/src/app/[locale]/page.tsx","217","/fr","stats","élevage","2 500 porcs en élevage","À CONFIRMER","Critique","non","Confirmer effectif","Retirer si non prouvé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-047","frontend/src/app/[locale]/page.tsx","257","/fr","histoire","historique","'+10 ans d'expérience","À CONFIRMER","Élevé","non","Confirmer date de démarrage","Ajuster à historique réel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-048","frontend/src/app/[locale]/page.tsx","271","/fr","histoire","identité","Fondée par Paul Quentin Ondoa Bidzo","À CONFIRMER","Moyen","non","Confirmer fondateur et nom public","Garder si validé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-049","frontend/src/app/[locale]/page.tsx","274","/fr","histoire","surface","40 hectares de terres fertiles","À CONFIRMER","Critique","non","Confirmer surface","Corriger avant publication","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-050","frontend/src/app/[locale]/page.tsx","284","/fr","valeurs","qualité","Contrôle rigoureux de chaque produit avant livraison","À CONFIRMER","Élevé","non","Confirmer contrôle qualité","Atténuer sans preuve","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-051","frontend/src/app/[locale]/page.tsx","318","/fr","produits","surface","Produits cultivés et élevés sur 40 hectares","À CONFIRMER","Critique","non","Confirmer surface","Corriger avant publication","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-052","frontend/src/app/[locale]/page.tsx","366","/fr","services","services","Gamme complète de services agricoles","À CONFIRMER","Élevé","non","Confirmer gamme réelle","Réduire au périmètre réel","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-053","frontend/src/app/[locale]/page.tsx","423","/fr","galerie","logistique","Venez découvrir nos installations sur place","À CONFIRMER","Moyen","non","Confirmer visites possibles","Encadrer la visite","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-054","frontend/src/app/[locale]/page.tsx","457","/fr","témoignages","témoignages","La satisfaction de nos clients est notre plus belle récompense","À CONFIRMER","Élevé","non","Confirmer base client","Retirer sans preuve","RETIRE PUBLIC","Retire de interface publique","NON CONCERNE","Aucune action R1"
"CLM-055","frontend/src/app/[locale]/page.tsx","500","/fr","CTA","disponibilité","Passez commande","À CONFIRMER","Critique","non","Confirmer canal commercial","Remplacer par demande d'information si nécessaire","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-056","frontend/src/app/[locale]/about/page.tsx","5","/fr/about","metadata","identité","Découvrez l'histoire, la mission et l'équipe","À CONFIRMER","Moyen","non","Confirmer contenu officiel","Alignement marque","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-057","frontend/src/app/[locale]/about/page.tsx","35","/fr/about","hero","environnement","Ferme fondée sur passion et durabilité","À CONFIRMER","Moyen","non","Confirmer valeurs","Garder si validé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-058","frontend/src/app/[locale]/about/page.tsx","65","/fr/about","histoire","identité","Fondée par Paul Quentin Ondoa Bidzo","À CONFIRMER","Moyen","non","Confirmer fondateur","Garder si validé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-059","frontend/src/app/[locale]/about/page.tsx","69","/fr/about","histoire","surface","Bilik, région Centre, 40 hectares","À CONFIRMER","Critique","non","Confirmer surface/localité","Corriger avant publication","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-060","frontend/src/app/[locale]/about/page.tsx","83","/fr/about","stats","production","40 ha, 10+ ans, 5 services actifs","À CONFIRMER","Critique","non","Confirmer stats","Retirer chiffres non validés","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-061","frontend/src/app/[locale]/about/page.tsx","115","/fr/about","mission","qualité","Fournisseurs de nourriture de qualité","À CONFIRMER","Élevé","non","Confirmer production active","Reformuler si ferme en démarrage","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-062","frontend/src/app/[locale]/about/page.tsx","130","/fr/about","engagements","environnement","Agriculture régénératrice","À CONFIRMER","Élevé","non","Confirmer pratiques","Ne pas utiliser sans preuve","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-063","frontend/src/app/[locale]/about/page.tsx","136","/fr/about","engagements","élevage","Bien-être animal","À CONFIRMER","Élevé","non","Confirmer conditions","Documenter ou atténuer","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-064","frontend/src/app/[locale]/about/page.tsx","141","/fr/about","engagements","logistique","Créer des emplois et stimuler l'économie locale","À CONFIRMER","Moyen","non","Confirmer emplois actuels","Distinguer objectif et réalité","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-065","frontend/src/app/[locale]/about/page.tsx","200","/fr/about","équipe","équipe","Équipe d'agriculteurs, éleveurs et professionnels dédiés","À CONFIRMER","Élevé","non","Confirmer équipe réelle","Éviter surpromesse","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-066","frontend/src/app/[locale]/about/page.tsx","217","/fr/about","équipe","expertise","Agronomes qualifiés, aquaculteurs certifiés, vétérinaires partenaires","À CONFIRMER","Critique","non","Confirmer qualifications/partenaires","Retirer sans preuve","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-067","frontend/src/app/[locale]/about/page.tsx","252","/fr/about","CTA","logistique","Venez nous rendre visite","À CONFIRMER","Moyen","non","Confirmer visites possibles","Encadrer modalités","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-068","frontend/src/app/[locale]/products/page.tsx","5","/fr/products","metadata","produits","Tous les produits : œufs, poissons, viandes, fruits et légumes frais du Cameroun","À CONFIRMER","Élevé","non","Confirmer catalogue officiel","Adapter au périmètre réel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-069","frontend/src/app/[locale]/products/page.tsx","23","/fr/products","catalogue","production","10 000 poules et 266 alvéoles/jour","À CONFIRMER","Critique","non","Confirmer capacité journalière","Retirer si non prouvé","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-070","frontend/src/app/[locale]/products/page.tsx","240","/fr/products","catalogue","disponibilité","produit(s) disponible(s)","À CONFIRMER","Critique","non","Confirmer disponibilités","Ne pas afficher disponible sans stock réel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-071","frontend/src/app/[locale]/products/page.tsx","114","/fr/products","catalogue","surface","20 ha maïs, 10 ha avocats, 25 ha manioc, 5 ha bananes, 25 ha plantains","À CONFIRMER","Critique","non","Confirmer surfaces","Corriger après validation","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-072","frontend/src/app/[locale]/services/feedmill/page.tsx","104","/fr/services/feedmill","provenderie","services","Disponibles en sacs de 50 kg pour toutes les espèces","À CONFIRMER","Critique","non","Confirmer production/vente","Classer futur si non opérationnel","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-073","frontend/src/app/[locale]/services/feedmill/page.tsx","9","/fr/services/feedmill","provenderie","qualité","Formules aliments riches et adaptées pour animaux","À CONFIRMER","Élevé","non","Confirmer formulations","Vérifier conformité","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-074","frontend/src/app/[locale]/services/feedmill/page.tsx","151","/fr/services/feedmill","équipements","services","Équipements agricoles : abreuvoirs, mangeoires, brouettes","À CONFIRMER","Critique","non","Confirmer vente équipement","Retirer si non commercialisé","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-075","frontend/src/app/[locale]/services/feedmill/page.tsx","50","/fr/services/feedmill","équipements","PLACEHOLDER TECHNIQUE","Emplacement provisoire pour une photo d'abreuvoir","PLACEHOLDER TECHNIQUE","Moyen","oui","Fournir vraie photo","Remplacer avant production","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-076","frontend/src/app/[locale]/services/advisory/page.tsx","6","/fr/services/advisory","service","expertise","Conseil Agricole, expertise et accompagnement technique","À CONFIRMER","Élevé","non","Confirmer expertise","Reformuler si accompagnement futur","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-077","frontend/src/app/[locale]/services/animals/page.tsx","6","/fr/services/animals","service","élevage","Élevage avicole, production de volailles de qualité supérieure","À CONFIRMER","Élevé","non","Confirmer activité","Adapter au réel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-078","frontend/src/app/[locale]/services/fresh-produce/page.tsx","9","/fr/services/fresh-produce","service","agriculture","Produits frais cultivés localement et récoltés à maturité","À CONFIRMER","Élevé","non","Confirmer disponibilité","Adapter au réel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","NON CONCERNE","Aucune action R1"
"CLM-079","frontend/src/app/[locale]/services/hatchery/page.tsx","6","/fr/services/hatchery","service","services","Couvoir moderne produisant des poussins d'un jour de haute qualité génétique","À CONFIRMER","Critique","non","Confirmer couvoir","Classer futur si non opérationnel","RECLASSE FUTUR","Presente comme developpement prevu non commercial","NON CONCERNE","Aucune action R1"
"CLM-080","frontend/src/app/[locale]/products/[id]/page.tsx","31","/fr/products/[id]","détail produit","disponibilité","Commander maintenant","À CONFIRMER","Élevé","non","Confirmer parcours commande","Désactiver si non fonctionnel","REFORMULE PUBLIC","Reformule sans affirmation non prouvee","CORRIGE","CTA fiche produit converti en lien vers page contact locale"
"CLM-081","frontend/src/app/[locale]/blog/page.tsx","22","/fr/blog","blog","produits","Aucun article disponible pour le moment","CONFIRMÉ","Faible","oui","Valider stratégie éditoriale","Ajouter contenu validé plus tard","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-082","backend/src/prisma/seed.ts","8","backend","seed","juridique","admin@bilikfarm.com","À CONFIRMER","Élevé","non","Confirmer email admin","Remplacer avant production","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-083","backend/src/prisma/seed.ts","12","backend","seed","juridique","admin123","À RETIRER","Critique","oui","Définir secret sécurisé","Changer avant toute exécution","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-084","backend/src/prisma/seed.ts","32","backend","seed","produits","Poulet fermier (kg), 2 500 FCFA, stock 100","À CONFIRMER","Élevé","non","Confirmer ou retirer seed","Ne pas traiter comme source officielle","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","DEVISE RETIREE","References FCFA residuelles neutralisees dans frontend"
"CLM-085","admin/src/app/page.tsx","6","admin","dashboard","services","Admin : produits, témoignages, blog, messages, utilisateurs","À CONFIRMER","Moyen","non","Confirmer besoin admin","Backlog CMS/admin","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-086","admin/src/app/dashboard/page.tsx","6","admin","dashboard","disponibilité","Dashboard admin inclut commandes","FUTUR","Moyen","non","Décider si commandes MVP","Reporter hors MVP si non validé","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
"CLM-087",".env.example","2","config","env","juridique","Placeholders DB/JWT/mail","PLACEHOLDER TECHNIQUE","Moyen","oui","Valider variables avant prod","Garder comme exemple sans secret réel","CONSERVE OU HORS PERIMETRE","Conserve ou hors perimetre autorise","NON CONCERNE","Aucune action R1"
